,year,month,day,hour,forecast,temp,hum
241,2018,1,16,11,46,0,90
242,2018,1,16,14,25,7,65
243,2018,1,16,14,46,4,65
244,2018,1,16,17,25,3,75
245,2018,1,16,17,46,4,55
246,2018,1,16,20,25,1,80
247,2018,1,16,20,46,0,65
248,2018,1,16,23,25,1,85
249,2018,1,16,23,46,-1,65
250,2018,1,16,2,25,0,85
251,2018,1,16,2,46,-3,65
252,2018,1,16,5,25,-1,85
253,2018,1,16,5,46,-4,70
254,2018,1,16,8,25,0,90
255,2018,1,16,8,46,-5,75
256,2018,1,17,11,25,4,65
257,2018,1,17,11,46,-3,75
258,2018,1,17,14,25,4,55
259,2018,1,17,14,46,3,40
260,2018,1,17,17,25,0,60
261,2018,1,17,17,46,4,35
262,2018,1,17,20,25,-1,70
263,2018,1,17,20,46,0,65
264,2018,1,17,23,25,-3,70
265,2018,1,17,23,46,-3,75
266,2018,1,17,2,25,-4,65
267,2018,1,17,2,46,-4,75
268,2018,1,17,5,25,-5,75
269,2018,1,17,5,46,-4,80
270,2018,1,17,8,25,-4,70
271,2018,1,17,8,46,-4,75
272,2018,1,18,11,25,2,35
273,2018,1,18,11,46,-1,75
274,2018,1,18,14,25,4,40
275,2018,1,18,14,46,6,65
276,2018,1,18,17,25,0,65
277,2018,1,18,17,46,5,60
278,2018,1,18,20,25,-3,70
279,2018,1,18,20,46,1,75
280,2018,1,18,23,25,-4,80
281,2018,1,18,23,46,-1,75
282,2018,1,18,2,25,-4,80
283,2018,1,18,2,46,-2,75
284,2018,1,18,5,25,-3,85
285,2018,1,18,5,46,-3,85
286,2018,1,18,8,25,-1,85
287,2018,1,18,8,46,-4,85
288,2018,1,19,11,25,5,70
289,2018,1,19,11,46,-3,85
290,2018,1,19,14,25,6,60
291,2018,1,19,14,46,4,45
292,2018,1,19,17,25,2,75
293,2018,1,19,17,46,5,45
294,2018,1,19,20,25,-1,80
295,2018,1,19,20,46,1,65
296,2018,1,19,23,25,-2,80
297,2018,1,19,23,46,0,70
298,2018,1,19,2,25,-3,80
299,2018,1,19,2,46,-2,75
300,2018,1,19,5,25,-5,75
301,2018,1,19,5,46,-2,70
302,2018,1,19,8,25,-4,70
303,2018,1,19,8,46,-3,75
304,2018,1,20,11,25,3,35
305,2018,1,20,11,46,-2,75
306,2018,1,20,14,25,5,40
307,2018,1,20,14,46,4,60
308,2018,1,20,17,25,1,55
309,2018,1,20,17,46,2,70
310,2018,1,20,20,25,-1,65
311,2018,1,20,20,46,0,75
312,2018,1,20,23,25,-2,70
313,2018,1,20,23,46,-1,75
314,2018,1,20,2,25,-2,70
315,2018,1,20,2,46,-1,75
316,2018,1,20,5,25,-3,80
317,2018,1,20,5,46,-5,65
318,2018,1,20,8,25,-2,75
319,2018,1,20,8,46,-7,55
320,2018,1,21,11,25,3,70
321,2018,1,21,11,46,-9,50
322,2018,1,21,14,25,2,80
323,2018,1,21,14,46,-8,45
324,2018,1,21,17,25,1,80
325,2018,1,21,17,46,-9,45
326,2018,1,21,20,25,0,75
327,2018,1,21,20,46,-9,50
328,2018,1,21,23,25,-2,65
329,2018,1,21,23,46,-8,55
330,2018,1,21,2,25,-6,60
331,2018,1,21,2,46,-9,60
332,2018,1,21,5,25,-9,55
333,2018,1,21,5,46,-11,50
334,2018,1,21,8,25,-10,50
335,2018,1,21,8,46,-12,55
336,2018,1,22,11,25,-9,45
337,2018,1,22,11,46,-12,55
338,2018,1,22,14,25,-8,45
339,2018,1,22,14,46,-10,50
340,2018,1,22,17,25,-8,55
341,2018,1,22,17,46,-10,45
342,2018,1,22,20,25,-8,55
343,2018,1,22,20,46,-11,55
344,2018,1,22,23,25,-9,55
345,2018,1,22,23,46,-11,55
346,2018,1,22,2,25,-11,50
347,2018,1,22,2,46,-12,55
348,2018,1,22,5,25,-12,50
349,2018,1,22,5,46,-12,55
350,2018,1,22,8,25,-12,55
351,2018,1,22,8,46,-12,55
352,2018,1,23,11,25,-10,45
353,2018,1,23,11,46,-11,50
354,2018,1,23,14,25,-10,45
355,2018,1,23,14,46,-9,35
356,2018,1,23,17,25,-11,55
357,2018,1,23,17,46,-8,40
358,2018,1,23,20,25,-11,55
359,2018,1,23,20,46,-10,45
360,2018,1,23,23,25,-12,55
361,2018,1,23,23,46,-10,50
362,2018,1,23,2,25,-12,55
363,2018,1,23,2,46,-10,50
364,2018,1,23,5,25,-13,50
365,2018,1,23,5,46,-12,50
366,2018,1,23,8,25,-12,45
367,2018,1,23,8,46,-12,50
368,2018,1,24,11,25,-9,40
369,2018,1,24,11,46,-13,50
370,2018,1,24,14,25,-8,40
371,2018,1,24,14,46,-10,45
372,2018,1,24,17,25,-10,50
373,2018,1,24,17,46,-9,45
374,2018,1,24,20,25,-10,50
375,2018,1,24,20,46,-10,50
376,2018,1,24,23,25,-11,50
377,2018,1,24,23,46,-11,55
378,2018,1,24,2,25,-12,50
379,2018,1,24,2,46,-11,60
380,2018,1,24,5,25,-13,50
381,2018,1,24,5,46,-12,70
382,2018,1,24,8,25,-13,50
383,2018,1,24,8,46,-13,70
384,2018,1,25,11,25,-11,50
385,2018,1,25,11,46,-11,65
386,2018,1,25,14,25,-9,45
387,2018,1,25,14,46,-5,40
388,2018,1,25,17,25,-11,50
389,2018,1,25,17,46,-3,35
390,2018,1,25,20,25,-12,55
391,2018,1,25,20,46,-5,45
392,2018,1,25,23,25,-11,60
393,2018,1,25,23,46,-6,50
394,2018,1,25,2,25,-12,65
395,2018,1,25,2,46,-6,55
396,2018,1,25,5,25,-13,70
397,2018,1,25,5,46,-6,55
398,2018,1,25,8,25,-12,60
399,2018,1,25,8,46,-7,55
400,2018,1,26,11,25,-5,40
401,2018,1,26,11,46,-6,55
402,2018,1,26,14,25,-4,30
403,2018,1,26,14,46,-2,35
404,2018,1,26,17,25,-6,45
405,2018,1,26,17,46,-2,40
406,2018,1,26,20,25,-7,55
407,2018,1,26,20,46,-4,55
408,2018,1,26,23,25,-7,50
409,2018,1,26,23,46,-5,60
410,2018,1,26,2,25,-6,50
411,2018,1,26,2,46,-6,55
412,2018,1,26,5,25,-7,60
413,2018,1,26,5,46,-6,55
414,2018,1,26,8,25,-6,55
415,2018,1,26,8,46,-8,60
416,2018,1,27,11,25,-2,40
417,2018,1,27,11,46,-9,65
418,2018,1,27,14,25,-2,45
419,2018,1,27,14,46,-5,55
420,2018,1,27,17,25,-4,55
421,2018,1,27,17,46,-6,50
422,2018,1,27,20,25,-5,55
423,2018,1,27,20,46,-7,55
424,2018,1,27,23,25,-7,55
425,2018,1,27,23,46,-7,55
426,2018,1,27,2,25,-7,55
427,2018,1,27,2,46,-8,60
428,2018,1,27,5,25,-9,70
429,2018,1,27,5,46,-9,70
430,2018,1,27,8,25,-9,70
431,2018,1,27,8,46,-10,70
432,2018,1,28,11,25,-6,55
433,2018,1,28,11,46,-9,75
434,2018,1,28,14,25,-6,50
435,2018,1,28,14,46,-2,45
436,2018,1,28,17,25,-7,55
437,2018,1,28,17,46,0,50
438,2018,1,28,20,25,-7,55
439,2018,1,28,20,46,-2,55
440,2018,1,28,23,25,-8,65
441,2018,1,28,23,46,-3,65
442,2018,1,28,2,25,-9,65
443,2018,1,28,2,46,-3,65
444,2018,1,28,5,25,-10,65
445,2018,1,28,5,46,-3,65
446,2018,1,28,8,25,-9,70
447,2018,1,28,8,46,-4,70
448,2018,1,29,11,25,-2,45
449,2018,1,29,11,46,-4,70
450,2018,1,29,14,25,0,50
451,2018,1,29,14,46,0,35
452,2018,1,29,17,25,-1,55
453,2018,1,29,17,46,1,35
454,2018,1,29,20,25,-3,60
455,2018,1,29,20,46,-3,50
456,2018,1,29,23,25,-3,65
457,2018,1,29,23,46,-5,60
458,2018,1,29,2,25,-3,65
459,2018,1,29,2,46,-6,65
460,2018,1,29,5,25,-4,70
461,2018,1,29,5,46,-7,75
462,2018,1,29,8,25,-4,65
463,2018,1,29,8,46,-8,70
