,year,month,day,hour,forecast,temp,hum
265,2017,1,17,14,46,-2,75
266,2017,1,17,17,25,-3,80
267,2017,1,17,17,46,-1,80
268,2017,1,17,20,25,-4,80
269,2017,1,17,20,46,-2,85
270,2017,1,17,23,25,-4,75
271,2017,1,17,23,46,-1,80
272,2017,1,18,2,25,2,40
273,2017,1,18,2,46,-2,75
274,2017,1,18,5,25,3,50
275,2017,1,18,5,46,-2,65
276,2017,1,18,8,25,0,70
277,2017,1,18,8,46,-1,55
278,2017,1,18,11,25,-2,75
279,2017,1,18,11,46,-3,65
280,2017,1,18,14,25,-2,80
281,2017,1,18,14,46,-4,65
282,2017,1,18,17,25,-2,80
283,2017,1,18,17,46,-5,70
284,2017,1,18,20,25,-1,80
285,2017,1,18,20,46,-6,70
286,2017,1,18,23,25,-2,70
287,2017,1,18,23,46,-6,70
288,2017,1,19,2,25,-2,65
289,2017,1,19,2,46,-6,75
290,2017,1,19,5,25,-1,55
291,2017,1,19,5,46,-2,60
292,2017,1,19,8,25,-3,65
293,2017,1,19,8,46,-1,60
294,2017,1,19,11,25,-4,65
295,2017,1,19,11,46,-2,70
296,2017,1,19,14,25,-6,70
297,2017,1,19,14,46,-3,70
298,2017,1,19,17,25,-6,75
299,2017,1,19,17,46,-2,70
300,2017,1,19,20,25,-7,75
301,2017,1,19,20,46,-3,60
302,2017,1,19,23,25,-6,75
303,2017,1,19,23,46,-5,55
304,2017,1,20,2,25,-3,65
305,2017,1,20,2,46,-5,55
306,2017,1,20,5,25,-1,65
307,2017,1,20,5,46,-4,50
308,2017,1,20,8,25,-1,65
309,2017,1,20,8,46,-5,50
310,2017,1,20,11,25,-2,70
311,2017,1,20,11,46,-5,55
312,2017,1,20,14,25,-1,65
313,2017,1,20,14,46,-5,55
314,2017,1,20,17,25,-3,55
315,2017,1,20,17,46,-5,55
316,2017,1,20,20,25,-4,50
317,2017,1,20,20,46,-6,50
318,2017,1,20,23,25,-5,55
319,2017,1,20,23,46,-7,55
320,2017,1,21,2,25,-4,50
321,2017,1,21,2,46,-7,55
322,2017,1,21,5,25,-5,50
323,2017,1,21,5,46,-5,45
324,2017,1,21,8,25,-5,55
325,2017,1,21,8,46,-3,45
326,2017,1,21,11,25,-5,50
327,2017,1,21,11,46,-4,55
328,2017,1,21,14,25,-5,50
329,2017,1,21,14,46,-5,60
330,2017,1,21,17,25,-6,50
331,2017,1,21,17,46,-6,65
332,2017,1,21,20,25,-7,55
333,2017,1,21,20,46,-6,65
