index,temp_25,temp_46,humid_25,humid_46
2016-03-29 14:00:00,17.1,16.700001,33.0,23.0
2016-03-29 17:00:00,14.9,17.4,38.0,24.0
2016-03-29 20:00:00,11.0,14.1,64.0,34.0
2016-03-29 23:00:00,6.7,11.4,82.0,49.0
2016-03-30 02:00:00,5.8,8.5,89.0,68.0
2016-03-30 05:00:00,5.4,5.8,85.0,75.0
2016-03-30 08:00:00,10.3,5.0,55.0,78.0
2016-03-30 11:00:00,17.1,11.6,26.0,34.0
2016-03-30 14:00:00,17.5,18.299999,22.0,20.0
2016-03-30 17:00:00,16.0,20.4,19.0,27.0
2016-03-30 20:00:00,12.1,16.6,50.0,27.0
2016-03-30 23:00:00,9.5,12.0,70.0,55.0
2016-03-31 02:00:00,7.4,8.1,72.0,78.0
2016-03-31 05:00:00,4.7,5.9,75.0,89.0
2016-03-31 08:00:00,12.1,5.9,44.0,89.0
2016-03-31 11:00:00,18.4,11.4,27.0,62.0
2016-03-31 14:00:00,20.700001,17.5,27.0,42.0
2016-03-31 17:00:00,18.4,21.4,27.0,37.0
2016-03-31 20:00:00,12.9,17.6,53.0,41.0
2016-03-31 23:00:00,9.1,13.2,79.0,60.0
2016-04-01 02:00:00,7.1,11.3,89.0,71.0
2016-04-01 05:00:00,5.9,9.2,89.0,90.0
2016-04-01 08:00:00,12.9,8.9,64.0,90.0
2016-04-01 11:00:00,20.0,11.0,42.0,78.0
2016-04-01 14:00:00,20.700001,12.1,37.0,68.0
2016-04-01 17:00:00,17.5,13.9,40.0,69.0
2016-04-01 20:00:00,13.3,12.2,59.0,69.0
2016-04-01 23:00:00,9.8,11.0,80.0,80.0
2016-04-02 02:00:00,7.9,10.0,88.0,85.0
2016-04-02 05:00:00,8.6,9.2,89.0,91.0
2016-04-02 08:00:00,9.7,9.0,79.0,91.0
2016-04-02 11:00:00,11.8,12.0,68.0,85.0
2016-04-02 14:00:00,12.9,14.4,69.0,69.0
2016-04-02 17:00:00,12.0,17.0,72.0,60.0
2016-04-02 20:00:00,10.2,15.4,81.0,58.0
2016-04-02 23:00:00,8.9,11.4,85.0,60.0
2016-04-03 02:00:00,8.1,8.3,89.0,72.0
2016-04-03 05:00:00,6.2,7.0,73.0,74.0
2016-04-03 08:00:00,11.2,4.9,52.0,82.0
2016-04-03 11:00:00,15.2,11.0,50.0,48.0
2016-04-03 14:00:00,17.1,16.200001,40.0,28.0
2016-04-03 17:00:00,14.4,17.5,39.0,27.0
2016-04-03 20:00:00,10.3,14.6,53.0,31.0
2016-04-03 23:00:00,8.7,11.4,64.0,57.0
2016-04-04 02:00:00,6.8,8.2,73.0,74.0
2016-04-04 05:00:00,4.0,5.9,83.0,72.0
2016-04-04 08:00:00,10.8,5.7,47.0,67.0
2016-04-04 11:00:00,16.299999,11.7,27.0,38.0
2016-04-04 14:00:00,17.6,19.0,27.0,29.0
2016-04-04 17:00:00,14.6,19.4,31.0,36.0
2016-04-04 20:00:00,11.1,16.4,55.0,61.0
2016-04-04 23:00:00,7.9,13.4,73.0,85.0
2016-04-05 02:00:00,5.7,12.0,84.0,90.0
2016-04-05 05:00:00,5.8,10.1,75.0,86.0
2016-04-05 08:00:00,11.8,9.8,43.0,94.0
2016-04-05 11:00:00,19.299999,12.0,24.0,82.0
