,year,day,hour,forecast,temp,hum
217,2018,14,14,46,2.0,85.0
218,2018,14,17,25,-3.0,85.0
219,2018,14,17,46,1.0,85.0
220,2018,14,20,25,-3.0,85.0
221,2018,14,20,46,0.0,90.0
222,2018,14,23,25,-1.0,90.0
223,2018,14,23,46,0.0,90.0
224,2018,15,2,25,4.0,75.0
225,2018,15,2,46,0.0,95.0
226,2018,15,5,25,5.0,80.0
227,2018,15,5,46,5.0,80.0
228,2018,15,8,25,2.0,80.0
229,2018,15,8,46,8.0,65.0
230,2018,15,11,25,1.0,85.0
231,2018,15,11,46,4.0,75.0
232,2018,15,14,25,0.0,85.0
233,2018,15,14,46,1.0,80.0
234,2018,15,17,25,0.0,90.0
235,2018,15,17,46,0.0,85.0
236,2018,15,20,25,-1.0,90.0
237,2018,15,20,46,0.0,85.0
238,2018,15,23,25,0.0,95.0
239,2018,15,23,46,1.0,85.0
240,2018,16,2,25,5.0,80.0
241,2018,16,2,46,0.0,90.0
242,2018,16,5,25,7.0,65.0
243,2018,16,5,46,4.0,65.0
244,2018,16,8,25,3.0,75.0
245,2018,16,8,46,4.0,55.0
246,2018,16,11,25,1.0,80.0
247,2018,16,11,46,0.0,65.0
248,2018,16,14,25,1.0,85.0
249,2018,16,14,46,-1.0,65.0
250,2018,16,17,25,0.0,85.0
251,2018,16,17,46,-3.0,65.0
252,2018,16,20,25,-1.0,85.0
253,2018,16,20,46,-4.0,70.0
254,2018,16,23,25,0.0,90.0
255,2018,16,23,46,-5.0,75.0
256,2018,17,2,25,4.0,65.0
257,2018,17,2,46,-3.0,75.0
258,2018,17,5,25,4.0,55.0
259,2018,17,5,46,3.0,40.0
260,2018,17,8,25,0.0,60.0
261,2018,17,8,46,4.0,35.0
262,2018,17,11,25,-1.0,70.0
263,2018,17,11,46,0.0,65.0
264,2018,17,14,25,-3.0,70.0
265,2018,17,14,46,-3.0,75.0
266,2018,17,17,25,-4.0,65.0
267,2018,17,17,46,-4.0,75.0
268,2018,17,20,25,-5.0,75.0
269,2018,17,20,46,-4.0,80.0
270,2018,17,23,25,-4.0,70.0
271,2018,17,23,46,-4.0,75.0
272,2018,18,2,25,2.0,35.0
273,2018,18,2,46,-1.0,75.0
274,2018,18,5,25,4.0,40.0
275,2018,18,5,46,6.0,65.0
276,2018,18,8,25,0.0,65.0
277,2018,18,8,46,5.0,60.0
278,2018,18,11,25,-3.0,70.0
279,2018,18,11,46,1.0,75.0
280,2018,18,14,25,-4.0,80.0
281,2018,18,14,46,-1.0,75.0
282,2018,18,17,25,-4.0,80.0
283,2018,18,17,46,-2.0,75.0
284,2018,18,20,25,-3.0,85.0
285,2018,18,20,46,-3.0,85.0
286,2018,18,23,25,-1.0,85.0
287,2018,18,23,46,-4.0,85.0
288,2018,19,2,25,5.0,70.0
289,2018,19,2,46,-3.0,85.0
290,2018,19,5,25,6.0,60.0
291,2018,19,5,46,4.0,45.0
292,2018,19,8,25,2.0,75.0
293,2018,19,8,46,5.0,45.0
294,2018,19,11,25,-1.0,80.0
295,2018,19,11,46,1.0,65.0
296,2018,19,14,25,-2.0,80.0
297,2018,19,14,46,0.0,70.0
298,2018,19,17,25,-3.0,80.0
299,2018,19,17,46,-2.0,75.0
300,2018,19,20,25,-5.0,75.0
301,2018,19,20,46,-2.0,70.0
302,2018,19,23,25,-4.0,70.0
303,2018,19,23,46,-3.0,75.0
304,2018,20,2,25,3.0,35.0
305,2018,20,2,46,-2.0,75.0
306,2018,20,5,25,5.0,40.0
307,2018,20,5,46,4.0,60.0
308,2018,20,8,25,1.0,55.0
309,2018,20,8,46,2.0,70.0
310,2018,20,11,25,-1.0,65.0
311,2018,20,11,46,0.0,75.0
312,2018,20,14,25,-2.0,70.0
313,2018,20,14,46,-1.0,75.0
314,2018,20,17,25,-2.0,70.0
315,2018,20,17,46,-1.0,75.0
316,2018,20,20,25,-3.0,80.0
317,2018,20,20,46,-5.0,65.0
318,2018,20,23,25,-2.0,75.0
319,2018,20,23,46,-7.0,55.0
320,2018,21,2,25,3.0,70.0
321,2018,21,2,46,-9.0,50.0
322,2018,21,5,25,2.0,80.0
323,2018,21,5,46,-8.0,45.0
324,2018,21,8,25,1.0,80.0
325,2018,21,8,46,-9.0,45.0
326,2018,21,11,25,0.0,75.0
327,2018,21,11,46,-9.0,50.0
